file,internal_import,disposition,rationale
pkg/api/client.go,internal/config,clean,"Used only in unexported struct field (cfg config.Config) and unexported helper resolveStorePath; no public signature exposure"
pkg/api/client.go,internal/store,clean,"Used only in unexported struct field (st *store.Store); no public signature exposure"
pkg/api/client.go,internal/tmux,clean,"Used only in unexported struct field (tmuxClient *tmux.Client); no public signature exposure"
pkg/api/decide.go,internal/store,export,"store.Spawn in DecideStore.GetSpawn return; store.PermissionRow in DecideStore.GetPermissionRequest return; store.ErrNoOpenPermissionRequest and store.ErrAlreadyDecided returned via %w; add type aliases Spawn and PermissionRow; rewrite interface methods to use pkg/api alias names"
pkg/api/delete.go,internal/store,clean,"DeleteStore interface uses no internal types; store.ErrSpawnNotFound used in function body only via errors.Is; no internal type in any exported signature"
pkg/api/doc.go,,clean,"No internal/* imports"
pkg/api/errors.go,,clean,"No internal/* imports; error sentinels defined with stdlib errors.New"
pkg/api/expire.go,internal/config,hide,"config.Config in exported Expire(s ExpireStore, cfg config.Config, ...) function signature; resolved by scalar extraction — replaced cfg config.Config with retentionDays int; Client method reads c.cfg.Defaults.ExpireRetentionDays and passes the int, keeping standalone Expire exported and config-free"
pkg/api/find_missing.go,internal/probe,hide,"probe.Prober in exported FindMissing(ctx, s, p probe.Prober, ...) function signature; external consumers use only (c *Client).FindMissing(ctx); unexport standalone findMissing"
pkg/api/get.go,internal/store,export,"store.Spawn in GetStore.GetSpawn return; store.PermissionRow in GetStore.GetPermissionRequest return; covered by shared aliases Spawn and PermissionRow in aliases.go; rewrite interface methods to use pkg/api alias names"
pkg/api/help.go,,clean,"No internal/* imports; imports only pkg/api/manifest (public sub-package of same module)"
pkg/api/kill.go,internal/store,hide,"*store.Store in exported Kill(s *store.Store, ...) function signature; resolved by introducing KillStore narrow interface (GetSpawn only) and rewriting standalone Kill to accept KillStore — keeps Kill exported and testable without *store.Store in any public signature"
pkg/api/list.go,internal/store,export,"store.ListFilters in ListStore.ListSpawns parameter; store.Spawn in ListStore.ListSpawns return; add alias type ListFilters = store.ListFilters (Spawn alias shared from decide/get); rewrite interface method to use pkg/api alias names"
pkg/api/make_template.go,internal/config,clean,"config.ValidateTemplateName, config.EnsureTemplatesDir, config.TemplatePath, config.TemplateFile, config.TemplatePermissions, and error sentinels (ErrTemplateExists, ErrTemplateMalformed) used in function body only; MakeTemplate public signature uses only pkg/api-defined types; no internal type in any exported parameter or return"
pkg/api/options.go,,clean,"No internal/* imports"
pkg/api/pause.go,internal/config,hide,"config.Pause in exported Pause(ctx, s, t, cfg config.Pause, ...) function signature; resolved by scalar extraction — replaced cfg config.Pause with timeoutSeconds int; Client method reads c.cfg.Pause.TimeoutSeconds and passes the int, keeping standalone Pause exported and config-free"
pkg/api/pause.go,internal/store,export,"store.Spawn in PauseStore.GetSpawn return; covered by shared alias type Spawn = store.Spawn in aliases.go; rewrite interface method to use pkg/api alias name"
pkg/api/readpane.go,internal/store,hide,"*store.Store in exported ReadPane(s *store.Store, ...) function signature; resolved by introducing ReadPaneStore narrow interface (GetSpawn only) and rewriting standalone ReadPane to accept ReadPaneStore — keeps ReadPane exported and testable without *store.Store in any public signature"
pkg/api/readpane.go,internal/tmux,clean,"tmux.StripANSI used in function body only; no tmux.* type in any exported signature"
pkg/api/resume.go,internal/config,hide,"config.Config in exported Resume(s, t, cfg config.Config, ...) function signature; (c *Client).Resume is already clean; unexport standalone resume"
pkg/api/resume.go,internal/spawn,clean,"spawn.JsonlPath and spawn.Relaunch used in function body only; spawn.RelaunchInput is constructed as a literal inside the function body; no spawn.* type appears in any exported parameter or return"
pkg/api/resume.go,internal/store,export,"store.Spawn in ResumeStore.GetSpawn return; covered by shared alias type Spawn = store.Spawn in aliases.go; rewrite interface method to use pkg/api alias name"
pkg/api/resume.go,internal/tmux,clean,"tmux.ErrTmuxSessionCreate used in function body via %w only; no tmux.* type in any exported signature"
pkg/api/sendkeys.go,internal/store,hide,"*store.Store in exported SendKeys(s *store.Store, ...) function signature; resolved by introducing SendKeysStore narrow interface (GetSpawn only) and rewriting standalone SendKeys to accept SendKeysStore — keeps SendKeys exported and testable without *store.Store in any public signature"
pkg/api/spawn.go,internal/config,hide,"config.Config in exported Spawn(s, tmuxClient, cfg config.Config, ...) function signature; (c *Client).Spawn is already clean; unexport standalone spawn"
pkg/api/spawn.go,internal/spawn,hide,"spawn.TmuxClient in exported Spawn(..., tmuxClient spawn.TmuxClient, ...) function signature; standalone spawn is being unexported so TmuxClient leaves the public surface; function-body calls (Resolve, Validate, ApplyDefaults, Launch) remain as unexported plumbing"
pkg/api/spawn.go,internal/store,hide,"*store.Store in exported Spawn(s *store.Store, ...) function signature; standalone spawn is being unexported"
pkg/api/status.go,internal/store,hide,"*store.Store in exported Status(s *store.Store, ...) function signature; resolved by introducing StatusStore narrow interface (GetSpawnState only) and rewriting standalone Status to accept StatusStore — keeps Status exported and testable without *store.Store in any public signature"
pkg/api/types.go,internal/spawn,export,"Already implements alias pattern: type SpawnParams = spawn.SpawnParams; type Permissions = spawn.Permissions; no additional change needed for these two aliases"
pkg/api/version.go,internal/version,clean,"version.Version and version.Commit are package-level string vars accessed in function body only; VersionResult uses only stdlib types; no internal type in any exported signature"
